Smash to Dust,5.615453728661276e-05,1.0,C,Red
Snarespinner,0.0,0.0,C,Green
Soaring Drake,0.002708650753343491,48.0,C,Blue
Sol'kanar the Tainted,0.7754777070063694,974.0,M,"Blue, Black, Red"
Soul of Windgrace,0.7728635682158921,1031.0,M,"Black, Red, Green"
Sphinx of Clear Skies,0.9894657637321295,1315.0,M,Blue
Splatter Goblin,0.0009547343592047624,17.0,C,Black
Sprouting Goblin,0.2099455642195086,1427.0,U,Red
"Squee, Dubious Monarch",0.8727412533640907,2270.0,R,Red
Stall for Time,0.0029317246434008007,52.0,C,White
"Stenn, Paranoid Partisan",0.10644041650597763,276.0,R,"White, Blue"
Strength of the Coalition,0.05043013942450311,340.0,U,Green
Stronghold Arena,0.1692942942942943,451.0,R,Black
Sulfurous Springs,0.04531001589825119,114.0,R,Colourless
Sunbathing Rootwalla,0.014491125589755112,258.0,C,Green
Sunlit Marsh,0.005133991537376587,91.0,C,Colourless
Swamp,0.0,0.0,C,Colourless
Tail Swipe,0.15020515826494724,1025.0,U,Green
Take Up the Shield,0.016709511568123392,299.0,C,White
Talas Lookout,0.04826133970747254,848.0,C,Blue
Tangled Islet,0.016459298108575573,295.0,C,Colourless
Tattered Apparition,0.0,0.0,C,Black
"Tatyova, Steward of Tides",0.35125925925925927,2371.0,U,"Blue, Green"
Tear Asunder,0.2246207701283547,1540.0,U,Green
Temporal Firestorm,0.8414918414918415,2166.0,R,Red
Temporary Lockdown,0.08544776119402984,229.0,R,White
Territorial Maro,0.19734882335418527,1325.0,U,Green
The Cruelty of Gix,0.9080594679186228,2321.0,R,Black
The Elder Dragon War,0.962624254473161,2421.0,R,Red
The Phasing of Zhalfir,0.10195921631347461,255.0,R,Blue
The Raven Man,0.3801261829652997,964.0,R,Black
The Weatherseed Treaty,0.31694069289489135,2159.0,U,Green
The World Spell,0.15330739299610896,197.0,M,Green
Thran Portal,0.03927608779360801,102.0,R,Colourless
Threats Undetected,0.09744168547780285,259.0,R,Green
Thrill of Possibility,0.0,0.0,C,Red
Tidepool Turtle,5.645571049511658e-05,1.0,C,Blue
Timeless Lotus,0.23524904214559386,307.0,M,Colourless
Timely Interference,0.005399087164644328,97.0,C,Blue
Tolarian Geyser,0.13388652164162368,2388.0,C,Blue
Tolarian Terror,0.12174940898345153,2163.0,C,Blue
"Tori D'Avenant, Fury Rider",0.06766805472932778,455.0,U,"White, Red"
Toxic Abomination,0.0,0.0,C,Black
Tribute to Urborg,0.0435587987650856,776.0,C,Black
"Tura Kennerüd, Skyknight",0.05321020228671944,363.0,U,"White, Blue"
Twinferno,0.014035087719298246,92.0,U,Red
Urborg Lhurgoyf,0.34232121922626024,876.0,R,Green
Urborg Repossession,0.035099411307341996,632.0,C,Black
Urza Assembles the Titans,0.010309278350515464,26.0,R,White
"Uurg, Spawn of Turg",0.03255882788219624,220.0,U,"Black, Green"
Valiant Veteran,0.4409937888198758,1136.0,R,White
Vanquisher's Axe,0.0,0.0,C,Colourless
Vesuvan Duplimancy,0.4200151630022744,554.0,M,Blue
Viashino Branchrider,0.0006667037057614312,12.0,C,Red
Vineshaper Prodigy,0.005980660667374658,107.0,C,Green
Voda Sea Scavenger,0.00016805781188728922,3.0,C,Blue
Vodalian Hexcatcher,0.041618938526155023,109.0,R,Blue
Vodalian Mindsinger,0.9244618395303327,2362.0,R,Blue
"Vohar, Vodalian Desecrator",0.07286212914485166,501.0,U,"Blue, Black"
Volshe Tideturner,0.00011169440411035407,2.0,C,Blue
Walking Bulwark,0.03990540939994088,270.0,U,Colourless
Warhost's Frenzy,0.004776378636561007,33.0,U,Red
Weatherlight Compleated,0.29488158899923606,386.0,M,Colourless
Wingmantle Chaplain,0.673399673251151,4534.0,U,White
Wooded Ridgeline,0.0097669256381798,176.0,C,Colourless
Writhing Necromass,0.007327659094752269,130.0,C,Black
Yavimaya Coast,0.044350173544157344,115.0,R,Colourless
Yavimaya Iconoclast,0.12946230188120278,874.0,U,Green
Yavimaya Sojourner,0.001965850370703213,35.0,C,Green
Yavimaya Steelcrusher,0.0006229823865888883,11.0,C,Red
Yotia Declares War,0.001321003963011889,9.0,U,Red
"Zar Ojanen, Scion of Efrava",0.08157189639773742,548.0,U,"White, Green"
"Zur, Eternal Schemer",0.13110938712179984,169.0,M,"White, Blue, Black"
